,楼盘名,价格,项目地址,开发商,物业公司,最新开盘,交房时间,容积率,产权年限,绿化率,规划户数,物业费用,车位情况
45,锦城悦庭, 14664,成都市高新区康和西一街199号,成都科普尔房地产开发有限公司,龙湖物业服务有限公司,2018.09,2021年06月,4.00,70年,30%,380,3元/m²/月,地下车位数611
46,碧桂园沁云里, 14000,应龙北一路222号,成都沁园房地产开发有限公司,成都龙湖物业服务有限公司,2018.08.22,2020年08月30日,3.00,40年,30%,335,3.3元/m²/月,地下车位数703
47,爱在城南, 14950,红星路南延线与新川大道交汇处,四川省恒瑞实业有限公司,成都科瑞福物业管理有限公司,2018.11,2019年12月31日,4.00,70年,35%,624,2.5~2.8元/m²/月,地下车位数1164
48,凯德世纪名邸, 50000,天府一街1333号（高新七中旁）,凯德（中国）企业管理有限公司成都分公司,成都励志一行物业服务有限公司,2017.10.11,2016年12月31日,3.10,40年,68%,11,5元/m²/月,地下车位数2403
49,中粮天府宸悦, 20000,"天府三街中粮天府宸悦, 天府三街366号",中粮地产(集团)股份有限公司,中粮地产集团深圳物业管理有限公司成都分公司,2018.08.31,2021年06月30日,6.00,40年,15%,1346,5元/m²/月,地下车位数642
50,宸光和悦, 30000,成都市高新区雅和街（地铁1号线广都站C口）,成都万锦南府置业有限公司,成都万科物业服务有限公司,2018.09.23,2020年12月31日,2.50,40年,25%,暂无,3.6元/m²/月,暂无信息
51,宸光和悦, 17600,雅和街宸光和悦,成都万锦南府置业有限公司,成都万科物业服务有限公司,2001.01.01,待定,2.50,70年,25%,暂无,3.6元/m²/月,地下车位数1181
52,世纪城梦想派, 20000,世纪城会展中心198号,成都环球世纪会展旅游集团有限公司,成都世纪城物业服务有限公司,2018.10.05,2019年10月02日,暂无,40年,30%,804,5元/m²/月,地下车位数368
53,明宇南御, 17000,益州大道北段388号,明宇埃科富科技发展有限公司,明宇环球商管,2018.08.25,2019年05月31日,4.00,40年,暂无,暂无,6元/m²/月,"地上车位数50
                                        ；                                            地下车位数300"
54,蓝光雍锦丽府, 19700,丽都路757号,成都远来房地产开发有限公司,四川嘉宝资产管理集团股份有限公司,待定,待定,3.00,70,25%,359,暂无,暂无信息
55,中洲南熙里二期, 39000,天久南巷139号,成都深长城地产有限公司,中洲物业,2018.04.01,2015年08月,1.60,40年,55%,60,1.2~5.5元/m²/月,地下车位数392
56,新成国际, 16000,高新区新康南二路77号,成都新成国际经济发展有限公司,成都忠信物业管理有限公司,2018.05.12,2018年12月18日,4.40,40年,30%,1301,2.6~0元/m²/月,地下车位数1301
57,融创香璟台一期, 67,高新区中和街道观东社区三组、龙灯山社区十一、十二组,成都融创仁源房地产开发有限公司,融创物业,2018.05.13,2019年12月31日,3.00,40年,30%,551,3.5元/m²/月,地下车位数567
58,蓝光金悦派, 120,中柏大道观东一街999号,成都高新和骏置业有限公司,成都嘉宝商业物业经营管理有限公司,2018.06.16,2018年06月30日,2.40,40年,30%,554,5元/m²/月,地下车位数635
59,龙湖九里晴川, 18000,雅和南四路216号,成都龙湖地产有限公司,成都龙湖物业服务有限公司,2016.07.13,2018年01月15日,3.50,70年、40年,40%,1866,2.8元/m²/月,地下车位数1800
60,希顿国际广场, 110,天府大道666号,成都乔治希顿房地产开发有限公司,成都港联物业管理有限公司,2012.08.28,2014年03月31日,12.19,40年,30%,840,17元/m²/月,地下车位数1463
61,北辰朗诗南门绿郡, 800,天府三街与康华路交汇处南侧,成都辰诗置业有限公司,南京朗诗物业管理有限公司成都分公司,2016.04.20,2018年09月30日,2.55,70年,30%,729,3.3元/m²/月,地下车位数1709
62,北大资源颐和翡翠府, 18000,红星路南延线与应龙路交叉口,成都北大资源地产有限公司,北京北大资源物业经营管理集团有限公司,2016.08.05,2018年09月30日,2.55,70年,30%,1074,2.6元/m²/月,地下车位数1755
63,清凤时代城, 60000,剑南大道中段(成都七中旁),四川省清凤现代房地产开发有限责任公司,成都市金优物业服务有限责任公司,2015.09.26,2016年12月31日,8.00,40年,15%,1092,5元/m²/月,地下车位数2951
64,仁美大源印象, 13000,天府四街134号,四川仁美置业有限公司,成都骊骏物业管理有限公司,2015.04.04,2016年09月30日,3.00,70年、40年,15%,500,3.5元/m²/月,地上车位数1132
65,仁美大源印象, 40000,天府四街134号,四川仁美置业有限公司,成都骊骏物业管理有限公司,2015.05.24,2016年12月31日,3.00,40年,15%,8,5元/m²/月,地上车位数1132
66,名著司南, 40000,天府大道南段1355号,四川名著房地产开发有限公司,成都名著物业管理有限公司,2013.12.31,2017年12月31日,4.00,40年,30%,15,3.5元/m²/月,地下车位数1491
67,IMC国际广场, 23000,国际城南.天府大道与天府一街交汇处（地铁1号线世纪城北行300米）,四川省集美实业有限公司,四川美程商业管理有限公司,2017.09.25,2017年12月15日,6.00,40年,15%,396,3.5~12元/m²/月,地下车位数938
68,成都棕榈泉国际中心, 32000,天府大道中段199号,成都棕榈泉联英置业有限公司,费尔蒙酒店物业管理有限公司,2012.10,2013年12月,8.50,70年,31%,382,13元/m²/月,地下车位数1400
69,IMC国际广场, 23000,国际城南.天府大道与天府一街交汇处（地铁1号线世纪城北行300米）,四川省集美实业有限公司,四川美程商业管理有限公司,2015.08.28,2017年07月30日,6.00,40年,15%,393,2.6元/m²/月,地下车位数938
70,香悦城, 25000,益州大道中段699号（天府一街与天府二街之间）,成都乐家置业有限公司,成都忠信物业管理有限公司,2016.09,2019年06月30日,5.30,70年,26%,244,2.6元/m²/月,地下车位数912
71,中国铁建西派澜岸(剑南大道中段), 1000,"剑南大道（成都七中高新校区对面）, 天府一街1566号",成都中铁建投资有限公司,中铁建（北京）物业管理有限公司成都分公司,2015.10.31,2016年11月30日,2.85,70年,30%,72,3.8元/m²/月,地下车位数2683
72,成都国际科技节能大厦, 12000,天府大道中段萃华路89号,成都中节能环保发展股份有限公司,中节能（杭州）物业管理公司,2012.05.31,待定,7.62,50年、40年,22%,700,16元/m²/月,地下车位数792
73,大源欢乐颂, 15000,天府三街1599号（天府三街与南华路交汇处）,成都锐力投资管理有限公司,成都龙湖物业服务有限公司,2016.10.29,2018年12月31日,4.99,70年、40年,15%,304,2.8元/m²/月,地下车位数1205
74,曙光国际, 16500,天晖中街56号,成都曙光现代物流投资有限公司,成都通发众好物业有限责任公司,2017.12.23,2018年08月31日,10.00,40年,30%,400,5元/m²/月,地下车位数620
75,誉峰三期, 18888,交子大道333号,成都市中天盈房地产开发有限公司,广州市宁骏物业管理有限公司成都分公司,2016.12.30,2016年12月20日,7.32,40年,30%,1844,5.5~14元/m²/月,地下车位数1020
76,新景鼎南川宇, 13000,中和中柏大道（格林君典旁）,四川新景实业有限公司,成都申和物业有限公司,2017.10.12,2019年03月,2.49,40年,30%,303,2.8元/m²/月,地下车位数853
77,龙湖世纪峰景, 48000,世纪城路418号,成都龙湖地产有限公司,成都龙湖物业管理有限公司,2016.10.22,2018年12月31日,8.90,40年,40%,36,6元/m²/月,地下车位数2500
78,朗基御今缘, 40000,天府四街1999号,成都市朗源房地产开发有限公司,成都爱地阳光物业管理有限公司,2017.07.31,2018年07月31日,2.85,70年、40年,30%,19,7元/m²/月,地下车位数1672
79,神仙树缤纷, 20000,新义西街96号,成都旭和盛房地产开发有限公司,成都佳祥物业管理有限公司,2013.04.15,2015年07月01日,3.00,40年,30%,183,6.8元/m²/月,"地上车位数500
                                        ；                                            地下车位数820"
80,龙湖九里晴川, 20000,雅和南四路216号,成都龙湖地产有限公司,成都龙湖物业服务有限公司,2016.12.01,2017年12月31日,3.50,40年,40%,1681,6.5~7.5元/m²/月,地下车位数1800
81,朗基御今缘, 40000,天府四街1999号,成都市朗源房地产开发有限公司,成都爱地阳光物业管理有限公司,2016.11.30,2018年07月31日,2.85,40年,30%,86,7元/m²/月,地下车位数1672
82,城市春天, 9000,益州大道北段388号,成都嘉隆利地产有限公司,成都仁和春天物业管理有限公司,2011.01.02,2012年12月01日,5.99,40年,30%,709,3.5元/m²/月,地下车位数1498
83,城市春天, 40000,益州大道北段388号,成都嘉隆利地产有限公司,成都仁和春天物业管理有限公司,2010.05.18,2011年06月21日,5.99,40年,30%,709,3.5元/m²/月,地下车位数1498
84,OCG国际中心, 130,天府四街158号,四川远东华人集团有限公司,北京世邦魏理仕物业管理服务有限公司成都分公司,2015.01.25,2016年12月20日,15.53,40年,10%,538,22~0元/m²/月,地下车位数1568
85,茂业中心, 14000,天府大道北段28号,北京崇德投资管理有限公司成都分公司,崇德物业管理有限公司,2011.05.10,2014年12月01日,2.00,70年,20%,1050,8~0元/m²/月,地下车位数1287
86,仁美大源印象, 40000,天府四街134号,四川仁美置业有限公司,成都郦骏物业管理有限公司,2015.05.24,2016年08月,3.00,40年,15%,189,5元/m²/月,地上车位数1132
87,朗基和今缘一期, 130,吉龙一街333号,成都市朗升房地产开发有限公司,成都爱地阳光物业管理有限公司,2017.05.01,2019年12月30日,2.85,70年,30%,312,3元/m²/月,地下车位数1911
88,仁和春天国际广场, 15000,府城大道西段505号,暂无,成都仁和春天物业管理有限公司,2015.10.23,2016年07月30日,5.50,40年,30%,570,5.5元/m²/月,地下车位数2409
